Date,Open,High,Low,Close,Volume,H-L,H-PC,L-PC,TR,ATR
2020-11-25,45.59,45.7,44.67,45.46,16122250,1.0300000000000011,0.759999999999998,1.7899999999999991,1.7899999999999991,1.6190000000000004
2020-11-27,45.35,45.59,44.75,45.06,7528791,0.8400000000000034,0.13000000000000256,0.7100000000000009,0.8400000000000034,1.582500000000001
2020-11-30,44.85,45.31,43.66,43.84,21600464,1.6500000000000057,0.25,1.4000000000000057,1.6500000000000057,1.6115000000000013
2020-12-01,44.78,45.45,44.0,44.68,12600875,1.4500000000000028,1.6099999999999994,0.1599999999999966,1.6099999999999994,1.6440000000000012
2020-12-02,44.0,44.59,43.69,44.58,11280736,0.9000000000000057,0.0899999999999963,0.990000000000002,0.990000000000002,1.6220000000000012
2020-12-03,44.77,44.87,43.96,44.09,13437833,0.9099999999999966,0.28999999999999915,0.6199999999999974,0.9099999999999966,1.5925000000000011
2020-12-04,44.4,44.74,44.13,44.4,11895202,0.6099999999999994,0.6499999999999986,0.03999999999999915,0.6499999999999986,1.524500000000001
2020-12-07,44.37,44.37,43.58,44.31,9207532,0.7899999999999991,0.030000000000001137,0.8200000000000003,0.8200000000000003,1.509000000000001
2020-12-08,43.7,44.16,43.44,43.8,10160435,0.7199999999999989,0.15000000000000568,0.8700000000000045,0.8700000000000045,1.4405000000000012
2020-12-09,44.14,44.54,43.92,44.43,12470461,0.6199999999999974,0.740000000000002,0.12000000000000455,0.740000000000002,1.3460000000000012
2020-12-10,43.71,43.71,42.47,42.87,18235572,1.240000000000002,0.7199999999999989,1.9600000000000009,1.9600000000000009,1.3630000000000013
2020-12-11,42.48,42.68,41.62,41.92,15555640,1.0600000000000023,0.18999999999999773,1.25,1.25,1.3385000000000011
2020-12-14,42.5,42.5,41.43,41.62,9995687,1.0700000000000003,0.5799999999999983,0.490000000000002,1.0700000000000003,1.2920000000000011
2020-12-15,42.07,42.15,41.31,41.66,12531589,0.8399999999999963,0.5300000000000011,0.30999999999999517,0.8399999999999963,1.275000000000001
2020-12-16,41.86,41.86,40.83,41.42,15134093,1.0300000000000011,0.20000000000000284,0.8299999999999983,1.0300000000000011,1.258000000000001
2020-12-17,41.68,42.03,41.44,42.03,12081557,0.5900000000000034,0.6099999999999994,0.01999999999999602,0.6099999999999994,1.1810000000000005
2020-12-18,42.02,42.05,40.59,41.01,21808272,1.4599999999999937,0.01999999999999602,1.4399999999999977,1.4599999999999937,1.2045000000000001
2020-12-21,40.25,41.5,40.07,41.21,15533942,1.4299999999999997,0.490000000000002,0.9399999999999977,1.4299999999999997,1.2285
2020-12-22,41.29,41.36,40.58,40.9,10602715,0.7800000000000011,0.14999999999999858,0.6300000000000026,0.7800000000000011,1.1615000000000002
2020-12-23,41.18,42.88,41.1,42.45,17573082,1.7800000000000011,1.980000000000004,0.20000000000000284,1.980000000000004,1.1640000000000004
2020-12-24,42.06,42.2,41.21,41.58,7825369,0.990000000000002,0.25,1.240000000000002,1.240000000000002,1.1365000000000005
2020-12-28,41.93,42.18,41.65,41.66,10471357,0.5300000000000011,0.6000000000000014,0.07000000000000028,0.6000000000000014,1.1245000000000005
2020-12-29,41.9,42.12,41.38,41.57,7987675,0.7399999999999949,0.46000000000000085,0.27999999999999403,0.7399999999999949,1.079
2020-12-30,41.6,42.19,41.58,41.84,6491928,0.6099999999999994,0.6199999999999974,0.00999999999999801,0.6199999999999974,1.0294999999999999
