Date,Close,Predections
2019-06-12,35.67,36.587456
2019-06-13,36.02,36.076668
2019-06-14,35.66,36.453186
2019-06-17,36.14,36.059727
2019-06-18,36.7,36.5334
2019-06-19,36.78,37.099247
2019-06-20,36.96,37.14064
2019-06-21,36.92,37.361507
2019-06-24,36.96,37.33399
2019-06-25,37.68,37.370316
2019-06-26,38.13,38.105145
2019-06-27,38.32,38.53113
2019-06-28,38.53,38.728474
2019-07-01,38.75,38.981438
2019-07-02,38.34,39.205196
2019-07-03,38.16,38.798046
2019-07-05,38.5,38.619473
2019-07-08,38.23,38.946087
2019-07-09,38.08,38.620537
2019-07-10,38.1,38.463806
2019-07-11,38.43,38.488476
2019-07-12,39.21,38.78425
2019-07-15,39.36,39.552246
2019-07-16,39.43,39.7027
2019-07-17,39.16,39.81288
2019-07-18,39.12,39.598618
2019-07-19,39.48,39.552605
2019-07-22,39.86,39.905815
2019-07-23,40.71,40.247707
2019-07-24,40.88,41.074684
2019-07-25,40.75,41.26746
2019-07-26,40.77,41.176636
2019-07-29,40.68,41.24564
2019-07-30,40.43,41.13596
2019-07-31,40.34,40.868546
2019-08-01,40.15,40.76202
2019-08-02,39.78,40.53969
2019-08-05,39.01,40.1427
2019-08-06,39.08,39.36183
2019-08-07,39.39,39.416874
2019-08-08,40.1,39.684525
2019-08-09,39.61,40.343063
2019-08-12,38.86,39.893116
2019-08-13,39.01,39.197987
2019-08-14,37.19,39.396538
2019-08-15,36.47,37.510456
2019-08-16,37.0,36.78899
2019-08-19,37.36,37.35601
2019-08-20,36.96,37.58283
2019-08-21,37.12,37.17591
2019-08-22,37.26,37.40123
2019-08-23,36.06,37.553688
2019-08-26,36.25,36.33939
2019-08-27,35.89,36.602695
2019-08-28,36.44,36.214535
2019-08-29,36.91,36.752327
2019-08-30,37.09,37.238903
2019-09-03,36.91,37.39852
2019-09-04,38.24,37.273354
2019-09-05,38.73,38.64024
2019-09-06,38.78,39.11946
2019-09-09,39.58,39.19307
2019-09-10,39.58,40.079765
2019-09-11,39.46,40.07624
2019-09-12,39.07,39.963287
2019-09-13,38.86,39.610012
2019-09-16,37.21,39.346497
2019-09-17,38.29,37.642174
2019-09-18,38.18,38.734856
2019-09-19,37.78,38.509514
2019-09-20,37.37,38.029945
2019-09-23,37.24,37.71006
2019-09-24,36.77,37.540825
2019-09-25,37.11,37.058308
2019-09-26,37.61,37.41722
2019-09-27,37.42,37.90881
2019-09-30,37.48,37.702877
2019-10-01,36.11,37.819786
2019-10-02,34.68,36.45459
2019-10-03,34.98,34.988174
2019-10-04,34.91,35.364597
2019-10-07,34.75,35.18756
2019-10-08,33.88,34.990917
2019-10-09,34.14,34.112293
2019-10-10,34.66,34.409462
2019-10-11,35.57,34.931828
2019-10-14,35.5,35.834255
2019-10-15,36.26,35.788082
2019-10-16,36.65,36.608852
2019-10-17,36.19,37.04792
2019-10-18,36.17,36.591625
2019-10-21,35.93,36.63038
2019-10-22,36.31,36.374588
2019-10-23,36.61,36.734596
2019-10-24,35.82,37.02022
2019-10-25,36.74,36.183777
2019-10-28,36.64,37.160275
2019-10-29,38.21,37.01448
2019-10-30,37.91,38.56913
2019-10-31,37.16,38.318565
2019-11-01,37.97,37.563164
2019-11-04,38.39,38.47924
2019-11-05,38.23,38.81237
2019-11-06,38.42,38.628025
2019-11-07,38.49,38.877865
2019-11-08,38.67,38.926075
2019-11-11,38.72,39.08663
2019-11-12,38.59,39.142357
2019-11-13,37.19,39.000183
2019-11-14,36.8,37.592133
2019-11-15,36.89,37.198368
2019-11-18,36.62,37.26056
2019-11-19,36.38,36.895615
2019-11-20,35.28,36.65863
2019-11-21,34.67,35.529877
2019-11-22,35.33,34.924038
2019-11-25,35.81,35.636524
2019-11-26,35.91,36.050003
2019-11-27,36.14,36.14974
2019-11-29,36.0,36.442947
2019-12-02,35.88,36.325397
2019-12-03,35.53,36.232
2019-12-04,35.8,35.89911
2019-12-05,35.31,36.1804
2019-12-06,35.54,35.660824
2019-12-09,35.38,35.900066
2019-12-10,35.11,35.73076
2019-12-11,35.24,35.43081
2019-12-12,36.1,35.589844
2019-12-13,35.65,36.45064
2019-12-16,36.11,35.96432
2019-12-17,36.31,36.47189
2019-12-18,37.31,36.69826
2019-12-19,37.26,37.683224
2019-12-20,37.25,37.66716
2019-12-23,36.77,37.672756
2019-12-24,36.58,37.236984
2019-12-26,36.48,37.016476
2019-12-27,36.56,36.903946
2019-12-30,36.44,36.94516
2019-12-31,36.6,36.800385
2020-01-02,37.38,36.95349
2020-01-03,36.32,37.737724
2020-01-06,35.84,36.646187
2020-01-07,35.15,36.195606
2020-01-08,34.65,35.50987
2020-01-09,35.08,34.951355
2020-01-10,34.65,35.416405
2020-01-13,34.98,34.905354
2020-01-14,35.15,35.260742
2020-01-15,35.15,35.43943
2020-01-16,35.55,35.42451
2020-01-17,35.6,35.877506
2020-01-21,34.99,35.93151
2020-01-22,34.91,35.324303
2020-01-23,34.88,35.282585
2020-01-24,34.31,35.2421
2020-01-27,33.41,34.62818
2020-01-28,33.64,33.71019
2020-01-29,33.6,33.977886
2020-01-30,33.33,33.88541
2020-01-31,33.39,33.585632
2020-02-03,33.72,33.670242
2020-02-04,34.37,33.9995
2020-02-05,35.03,34.66088
2020-02-06,34.33,35.337566
2020-02-07,33.63,34.64629
2020-02-10,34.25,33.971222
2020-02-11,35.01,34.654293
2020-02-12,35.49,35.37773
2020-02-13,35.29,35.83515
2020-02-14,34.76,35.663765
2020-02-18,34.41,35.14348
2020-02-19,34.92,34.796818
2020-02-20,35.29,35.318974
2020-02-21,34.65,35.65129
2020-02-24,33.09,34.97353
2020-02-25,31.75,33.38674
2020-02-26,32.0,32.009155
2020-02-27,30.71,32.340595
2020-02-28,30.5,30.897316
2020-03-02,31.42,30.748695
2020-03-03,30.52,31.68692
2020-03-04,31.53,30.65156
2020-03-05,30.1,31.760351
2020-03-06,28.69,30.228489
2020-03-09,24.69,28.813046
2020-03-10,27.12,24.653051
2020-03-11,26.0,27.826803
2020-03-12,23.04,26.17427
2020-03-13,24.71,23.364866
2020-03-16,21.0,24.980856
2020-03-17,20.32,21.085913
2020-03-18,16.8,20.837925
2020-03-19,17.71,17.04162
2020-03-20,18.14,19.003561
2020-03-23,17.6,18.619354
2020-03-24,21.11,18.423542
2020-03-25,21.49,20.846632
2020-03-26,22.56,21.201857
2020-03-27,21.38,22.205942
2020-03-30,21.32,20.9783
2020-03-31,20.78,21.102211
2020-04-01,19.26,20.665154
2020-04-02,18.19,19.465675
2020-04-03,18.04,18.480518
2020-04-06,19.55,18.477238
2020-04-07,21.3,19.945492
2020-04-08,23.13,21.352438
2020-04-09,24.06,22.874523
2020-04-13,23.01,23.65177
2020-04-14,22.98,22.68973
2020-04-15,21.66,22.705114
2020-04-16,20.87,21.550772
2020-04-17,22.48,21.054976
2020-04-20,22.38,22.761984
2020-04-21,21.24,22.551168
2020-04-22,21.3,21.362488
2020-04-23,21.52,21.238914
2020-04-24,21.95,21.557522
2020-04-27,22.45,22.070906
2020-04-28,22.18,22.488852
2020-04-29,23.78,22.149912
2020-04-30,22.29,23.70426
2020-05-01,20.9,22.203749
2020-05-04,20.75,20.918222
2020-05-05,21.26,20.792051
2020-05-06,21.89,21.55666
2020-05-07,22.44,22.121693
2020-05-08,23.93,22.495144
2020-05-11,22.8,23.796888
2020-05-12,22.56,22.660793
2020-05-13,21.46,22.455992
2020-05-14,22.31,21.379644
2020-05-15,22.63,22.524492
2020-05-18,24.81,22.744255
2020-05-19,24.69,24.92142
2020-05-20,25.48,24.586878
2020-05-21,25.8,25.384804
2020-05-22,25.98,25.66839
2020-05-26,27.4,25.968016
2020-05-27,27.79,27.460695
2020-05-28,26.68,27.872927
2020-05-29,25.88,26.776749
2020-06-01,26.94,25.961351
2020-06-02,27.41,27.15872
2020-06-03,29.07,27.620708
2020-06-04,29.16,29.297747
2020-06-05,30.61,29.302065
2020-06-08,30.68,30.784485
2020-06-09,29.86,30.885448
2020-06-10,28.75,30.07095
2020-06-11,26.5,28.968908
2020-06-12,27.96,26.639847
2020-06-15,27.77,28.446844
2020-06-16,27.78,28.036665
2020-06-17,27.16,28.057
2020-06-18,27.09,27.2815
2020-06-19,26.59,27.219973
2020-06-22,26.37,26.700096
2020-06-23,26.25,26.530851
2020-06-24,25.28,26.406347
2020-06-25,25.23,25.411257
2020-06-26,24.46,25.399878
2020-06-29,25.3,24.58554
2020-06-30,25.3,25.528524
